"total_hops"
"15"
"17"
"9"
"13"
"12"
"4"
"8"
"32"
"21"
"16"
"20"
"24"
"2"
"6"
"10"
"14"
"18"
"22"
"5"
"1"
"31"
"11"
"7"
"3"
"19"
