"totals","total_hops"
"7414","15"
"49600","11"
"172720","7"
"99701","5"
"4958","1"
"5355","2"
"161750","6"
"79531","10"
"162854","8"
"27467","12"
"47147","4"
"342","20"
"1","24"
"4359","16"
"316","21"
"96","31"
"12221","3"
"136","22"
"122213","9"
"16255","13"
"9649","14"
"999","18"
"1963","17"
"843","19"
"105","32"
