1, 2349
 2, 2693
 3, 6069
 4, 23535
 5, 49783
 6, 80195
 7, 86208
 8, 82068
 9, 61347
 10, 40061
 11, 24901
 12, 13696
 13, 8073
 14, 4924
 15, 3665
 16, 2199
 17, 1001
 18, 505
 19, 412
 20, 147
 21, 173
 22, 67
 24, 1
 31, 49
 32, 37

